<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20260114,103000,1.16502,1.16521,1.1648,1.16484,3146
20260114,103500,1.16484,1.16503,1.16475,1.16478,2659
20260114,104000,1.16478,1.16487,1.1647,1.16474,2370
20260114,104500,1.16474,1.16492,1.16466,1.16485,2514
20260114,105000,1.16485,1.16494,1.16478,1.16487,2432
20260114,105500,1.16487,1.1649,1.1646,1.16466,2850
20260114,110000,1.16466,1.16466,1.1644,1.16459,4575
20260114,110500,1.16459,1.16504,1.16449,1.16501,4137
20260114,111000,1.16501,1.16502,1.16451,1.16458,4876
20260114,111500,1.16458,1.16472,1.1644,1.16445,3825
20260114,112000,1.16445,1.1646,1.16432,1.16439,4026
20260114,112500,1.16439,1.16453,1.16417,1.16419,4299
20260114,113000,1.16419,1.16441,1.16407,1.16427,5343
20260114,113500,1.16427,1.1646,1.16417,1.16449,6430
20260114,114000,1.16448,1.16459,1.16426,1.16447,6604
20260114,114500,1.16447,1.16481,1.1642,1.16429,7243
20260114,115000,1.16429,1.16475,1.1642,1.16458,6021
20260114,115500,1.16457,1.16475,1.1645,1.16464,5343
20260114,120000,1.16464,1.1648,1.16456,1.16476,5803
20260114,120500,1.16475,1.16481,1.16457,1.16462,5073
20260114,121000,1.16462,1.16483,1.16461,1.16469,4038
20260114,121500,1.16467,1.16499,1.16458,1.16495,3341
20260114,122000,1.16495,1.16512,1.16493,1.16497,3565
20260114,122500,1.16497,1.16502,1.1646,1.16465,4738
20260114,123000,1.16465,1.16491,1.16458,1.16481,3763
20260114,123500,1.16481,1.16513,1.16469,1.1651,2918
20260114,124000,1.16511,1.1653,1.16486,1.16488,3484
20260114,124500,1.16488,1.16496,1.16467,1.16489,3028
20260114,125000,1.16489,1.16521,1.16488,1.16511,2959
20260114,125500,1.16511,1.1654,1.16495,1.16536,3679
20260114,130000,1.16536,1.16537,1.16509,1.16517,3659
20260114,130500,1.16517,1.1652,1.16465,1.16478,5265
20260114,131000,1.16478,1.16504,1.16476,1.16489,4041
20260114,131500,1.16488,1.16504,1.1648,1.16502,2868
20260114,132000,1.16502,1.16528,1.16493,1.16525,3074
20260114,132500,1.16527,1.1653,1.16511,1.16521,4326
20260114,133000,1.16521,1.1655,1.16516,1.16548,4368
20260114,133500,1.16548,1.16551,1.1653,1.16539,4687
20260114,134000,1.16539,1.1656,1.16538,1.1655,4302
20260114,134500,1.16549,1.16571,1.16535,1.16542,4660
20260114,135000,1.16542,1.16572,1.16531,1.1657,4224
20260114,135500,1.16568,1.1658,1.16556,1.16571,4998
20260114,140000,1.1657,1.16576,1.16542,1.1655,5935
20260114,140500,1.16549,1.1655,1.16523,1.16526,5088
20260114,141000,1.16526,1.16535,1.1651,1.16524,4307
20260114,141500,1.16524,1.16527,1.16499,1.16503,3710
20260114,142000,1.16504,1.16515,1.1648,1.16495,3844
20260114,142500,1.16495,1.165,1.16483,1.16494,3510
20260114,143000,1.16494,1.16502,1.16478,1.1648,3000
20260114,143500,1.1648,1.16486,1.16465,1.16485,3135
20260114,144000,1.16485,1.1649,1.16474,1.16483,2259
20260114,144500,1.16483,1.16492,1.1646,1.16466,3504
20260114,145000,1.16466,1.16482,1.1645,1.16458,3878
20260114,145500,1.16458,1.16473,1.16452,1.1646,3303
20260114,150000,1.16464,1.16477,1.16436,1.16468,5160
20260114,150500,1.16468,1.16536,1.16467,1.16479,11202
20260114,151000,1.16477,1.1649,1.16448,1.16455,6645
20260114,151500,1.16455,1.16475,1.16449,1.16467,4646
20260114,152000,1.16465,1.16474,1.16455,1.16465,3361
20260114,152500,1.16467,1.16467,1.16447,1.16459,3611
20260114,153000,1.16459,1.16475,1.16448,1.16454,3495
20260114,153500,1.16454,1.16482,1.16449,1.16477,3602
20260114,154000,1.16475,1.1649,1.16453,1.16458,3671
20260114,154500,1.16457,1.1649,1.16455,1.16481,3158
20260114,155000,1.16481,1.16484,1.16455,1.16479,3900
20260114,155500,1.16479,1.16528,1.1647,1.16526,5025
20260114,160000,1.16526,1.166,1.16522,1.16596,10194
20260114,160500,1.16596,1.16598,1.16543,1.16549,7773
20260114,161000,1.16549,1.1655,1.16502,1.16505,5693
20260114,161500,1.16505,1.16548,1.16502,1.16507,5622
20260114,162000,1.16508,1.16522,1.16474,1.16477,5829
20260114,162500,1.16477,1.16494,1.16463,1.1647,5735
20260114,163000,1.16471,1.16494,1.16451,1.16451,4286
20260114,163500,1.16473,1.16488,1.16446,1.16472,7129
20260114,164000,1.16473,1.16497,1.16454,1.1649,7537
20260114,164500,1.1649,1.16529,1.16478,1.16525,6590
20260114,165000,1.16525,1.16537,1.16493,1.16493,6753
20260114,165500,1.16493,1.16495,1.16451,1.1648,6714
20260114,170000,1.1648,1.1652,1.1648,1.16498,6245
20260114,170500,1.16498,1.16557,1.16485,1.16519,8416
20260114,171000,1.1652,1.16554,1.16504,1.16526,8924
20260114,171500,1.16526,1.16575,1.16515,1.1653,8272
20260114,172000,1.1653,1.1657,1.16523,1.16556,7633
20260114,172500,1.16554,1.16588,1.16554,1.1656,8052
20260114,173000,1.16563,1.16571,1.16534,1.16547,6469
20260114,173500,1.16547,1.16563,1.16529,1.16541,7587
20260114,174000,1.16541,1.16555,1.16521,1.16529,9206
20260114,174500,1.16529,1.16595,1.16529,1.16589,9411
20260114,175000,1.16589,1.166,1.16572,1.16577,9554
20260114,175500,1.16576,1.16585,1.16542,1.16553,8272
20260114,180000,1.16553,1.16578,1.1655,1.16555,8013
20260114,180500,1.16555,1.16559,1.16521,1.16526,12216
20260114,181000,1.16529,1.16558,1.16517,1.16533,6816
20260114,181500,1.16534,1.16592,1.1652,1.16533,14122
20260114,182000,1.16539,1.16558,1.16515,1.16525,7992
20260114,182500,1.16525,1.16542,1.165,1.16505,6550
20260114,183000,1.16505,1.16528,1.16495,1.16514,7042
20260114,183500,1.16514,1.16538,1.1649,1.16516,7270
20260114,184000,1.16516,1.1654,1.16513,1.16526,6891
20260114,184500,1.16526,1.16542,1.16513,1.16526,6948
20260114,185000,1.16526,1.16549,1.16523,1.16542,6689
20260114,185500,1.16539,1.16559,1.16526,1.16549,7085
20260114,190000,1.1655,1.16607,1.16548,1.16597,10587
20260114,190500,1.16597,1.16614,1.16576,1.16588,7934
20260114,191000,1.1659,1.16611,1.16588,1.16609,4937
20260114,191500,1.16608,1.16617,1.16587,1.16588,4114
20260114,192000,1.16589,1.16605,1.1657,1.16603,4539
20260114,192500,1.16603,1.16615,1.16537,1.1654,6655
20260114,193000,1.1654,1.16566,1.16536,1.1656,5306
20260114,193500,1.1656,1.16572,1.16548,1.16562,5444
20260114,194000,1.16562,1.16577,1.16548,1.16552,6286
20260114,194500,1.16552,1.16571,1.16547,1.16551,6006
20260114,195000,1.16548,1.16552,1.16523,1.16534,5810
20260114,195500,1.16533,1.16562,1.16532,1.1656,5600
20260114,200000,1.1656,1.16571,1.1654,1.16543,5507
20260114,200500,1.16543,1.1656,1.16528,1.16531,4741
20260114,201000,1.1653,1.16543,1.16517,1.16537,4127
20260114,201500,1.16535,1.16543,1.16523,1.16534,3872
20260114,202000,1.16534,1.169,1.16504,1.16521,4841
20260114,202500,1.16521,1.16531,1.165,1.16502,4719
20260114,203000,1.16502,1.16518,1.16499,1.16514,5051
20260114,203500,1.16514,1.16519,1.16494,1.16501,5278
20260114,204000,1.16501,1.1651,1.1647,1.16473,4124
20260114,204500,1.16473,1.16487,1.16454,1.16463,5172
20260114,205000,1.16464,1.16484,1.1646,1.16476,3592
20260114,205500,1.16479,1.16482,1.16453,1.16464,4643
20260114,210000,1.16464,1.16472,1.1645,1.16467,4428
20260114,210500,1.16467,1.16472,1.16441,1.16459,4610
20260114,211000,1.16459,1.16462,1.16439,1.16445,3717
20260114,211500,1.16444,1.16458,1.16435,1.16438,3403
20260114,212000,1.16438,1.1644,1.16414,1.16437,3397
20260114,212500,1.16437,1.1645,1.16433,1.16443,2855
20260114,213000,1.16443,1.16453,1.16436,1.16442,2837
20260114,213500,1.16443,1.1648,1.16441,1.16444,4381
20260114,214000,1.16446,1.1645,1.16407,1.16408,3173
20260114,214500,1.16409,1.16424,1.16399,1.16401,3185
20260114,215000,1.16401,1.1641,1.16385,1.16407,5341
20260114,215500,1.16403,1.16422,1.16402,1.16419,3563
20260114,220000,1.16419,1.16421,1.16377,1.16377,4046
20260114,220500,1.16382,1.16391,1.16358,1.16364,4772
20260114,221000,1.16363,1.16381,1.16358,1.16374,3539
20260114,221500,1.16374,1.16383,1.16364,1.16368,2356
20260114,222000,1.16368,1.16386,1.16364,1.16379,2739
20260114,222500,1.1638,1.16383,1.16368,1.16373,2397
20260114,223000,1.16374,1.1638,1.16368,1.16373,3178
20260114,223500,1.16373,1.16376,1.16355,1.16362,1925
20260114,224000,1.16363,1.16375,1.1636,1.16369,3397
