<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20260119,220000,1.16457,1.1649,1.16429,1.16429,14735
20260119,230000,1.16431,1.1647,1.16424,1.16429,11015
20260120,000000,1.16431,1.16452,1.16413,1.16449,9790
20260120,010000,1.1645,1.16463,1.16426,1.16448,10882
20260120,020000,1.16452,1.16473,1.16399,1.16452,2776
20260120,030000,1.16453,1.16464,1.16379,1.16392,10688
20260120,040000,1.16391,1.1641,1.16323,1.16404,29034
20260120,050000,1.16401,1.1644,1.16386,1.16435,45708
20260120,060000,1.16435,1.16464,1.16401,1.16441,29347
20260120,070000,1.16442,1.16587,1.16438,1.16562,32168
20260120,080000,1.16564,1.16666,1.16557,1.16654,32111
20260120,090000,1.16654,1.16725,1.16627,1.16631,33478
20260120,100000,1.16631,1.16691,1.16618,1.16683,45150
20260120,110000,1.16683,1.16938,1.16638,1.16887,88585
20260120,120000,1.16887,1.17219,1.16868,1.17162,118271
20260120,130000,1.1716,1.17328,1.17153,1.17259,102952
20260120,140000,1.1726,1.1732,1.1715,1.17309,84258
20260120,150000,1.1731,1.1739,1.17222,1.17349,70814
20260120,160000,1.17348,1.17437,1.17253,1.17256,73316
20260120,170000,1.17258,1.17689,1.17181,1.17332,132883
20260120,180000,1.17332,1.1737,1.17149,1.17193,152320
20260120,190000,1.17193,1.17372,1.1716,1.17269,121264
20260120,200000,1.17269,1.17394,1.17266,1.17385,95190
20260120,210000,1.17387,1.1743,1.17295,1.17313,70061
20260120,220000,1.17312,1.17341,1.17263,1.17265,49334
20260120,230000,1.17265,1.17281,1.17112,1.17121,56474
20260121,000000,1.17121,1.17204,1.17104,1.17193,59808
20260121,010000,1.17191,1.1727,1.1599,1.1724,15221
20260121,020000,1.17239,1.17257,1.17185,1.17219,5350
20260121,030000,1.17218,1.1729,1.17194,1.17268,14739
20260121,040000,1.1727,1.17273,1.17164,1.17235,30768
20260121,050000,1.17235,1.17343,1.17223,1.17288,49968
20260121,060000,1.17288,1.1732,1.1724,1.17262,35226
20260121,070000,1.17262,1.17289,1.17103,1.17188,38910
20260121,080000,1.17188,1.17205,1.17136,1.1718,27240
20260121,090000,1.1718,1.1722,1.17153,1.17173,28007
20260121,100000,1.17172,1.17251,1.17151,1.17236,31712
20260121,110000,1.17235,1.17254,1.17097,1.17168,69637
20260121,120000,1.17168,1.17187,1.17048,1.171,70754
20260121,130000,1.17101,1.1713,1.1701,1.17033,55558
20260121,140000,1.17033,1.17085,1.1701,1.17069,50614
20260121,150000,1.17069,1.17205,1.17036,1.17141,56736
20260121,160000,1.17139,1.17357,1.17118,1.17345,64625
20260121,170000,1.17348,1.1743,1.17283,1.17393,75054
20260121,180000,1.17393,1.17406,1.17148,1.17243,149236
20260121,190000,1.17243,1.17286,1.17004,1.17019,129677
20260121,200000,1.17019,1.1711,1.16943,1.1703,112573
20260121,210000,1.1703,1.17117,1.16968,1.17027,84963
20260121,220000,1.17027,1.17033,1.1655,1.16967,58340
20260121,230000,1.16968,1.17054,1.16768,1.16912,110961
20260122,000000,1.16912,1.1692,1.16758,1.16866,72816
20260122,010000,1.16866,1.16895,1.16825,1.16825,19335
20260122,020000,1.16826,1.16865,1.16801,1.1684,5677
20260122,030000,1.16845,1.16856,1.16695,1.16729,18152
20260122,040000,1.16727,1.16898,1.16726,1.16871,41435
20260122,050000,1.16871,1.16902,1.1681,1.16887,45117
20260122,060000,1.16884,1.16936,1.1683,1.16855,30133
20260122,070000,1.16854,1.16903,1.16846,1.16886,23774
20260122,080000,1.16886,1.16972,1.16886,1.16913,22838
20260122,090000,1.16913,1.1692,1.16839,1.16883,26865
20260122,100000,1.16881,1.16919,1.16838,1.16884,33756
20260122,110000,1.16883,1.16961,1.16844,1.16903,54175
20260122,120000,1.16905,1.16951,1.16838,1.16887,65147
20260122,130000,1.16887,1.16974,1.16874,1.16924,56713
20260122,140000,1.16924,1.16955,1.16864,1.16951,44646
20260122,150000,1.16951,1.17041,1.169,1.17021,67470
20260122,160000,1.17022,1.17091,1.16997,1.17037,54114
20260122,170000,1.17037,1.17186,1.17027,1.17137,82776
20260122,180000,1.17139,1.17257,1.17105,1.17194,90502
20260122,190000,1.17193,1.1734,1.17182,1.17337,92943
20260122,200000,1.17341,1.17507,1.17332,1.17386,79705
20260122,210000,1.17386,1.1748,1.17266,1.17464,68695
20260122,220000,1.17463,1.17486,1.1655,1.17474,41292
20260122,230000,1.17474,1.1748,1.1605,1.17438,37732
20260123,000000,1.17439,1.1753,1.17419,1.17487,37182
20260123,010000,1.17487,1.17563,1.17467,1.17544,21294
20260123,020000,1.17543,1.17561,1.17462,1.17551,4758
20260123,030000,1.17552,1.17594,1.17528,1.17537,14999
20260123,040000,1.17536,1.17538,1.17476,1.17481,28850
20260123,050000,1.17479,1.17537,1.17466,1.17491,47950
20260123,060000,1.17491,1.175,1.17437,1.17452,34955
20260123,070000,1.17452,1.17487,1.1743,1.17436,30118
20260123,080000,1.17436,1.17511,1.17427,1.17498,22885
20260123,090000,1.17498,1.1754,1.17494,1.17507,26736
20260123,100000,1.17508,1.1753,1.17411,1.17419,50679
20260123,110000,1.17419,1.17474,1.17347,1.17359,93981
20260123,120000,1.17359,1.17452,1.17279,1.17397,79132
20260123,130000,1.17397,1.17451,1.17347,1.17352,71110
20260123,140000,1.17352,1.1736,1.17296,1.17344,51161
20260123,150000,1.17344,1.17405,1.17305,1.17372,58838
20260123,160000,1.17372,1.17443,1.17362,1.17422,49016
20260123,170000,1.17422,1.17473,1.17326,1.17339,58773
20260123,180000,1.17339,1.17481,1.17316,1.17461,66000
20260123,190000,1.17462,1.17614,1.17455,1.17579,75733
20260123,200000,1.17579,1.17753,1.17461,1.17705,93349
20260123,210000,1.17705,1.17988,1.17688,1.17941,137249
20260123,220000,1.17941,1.17955,1.17768,1.17919,95176
20260123,230000,1.17919,1.18148,1.1599,1.18115,78858
20260124,000000,1.18115,1.18265,1.18097,1.18213,73302
20260124,010000,1.18213,1.18336,1.18206,1.1828,34337
20260124,020000,1.1828,1.1828,1.1828,1.1828,0
20260125,220000,1.1836,1.1843,1.18319,1.18399,309
20260125,230000,1.18399,1.18646,1.18394,1.18646,933
20260126,000000,1.1866,1.1874,1.1861,1.1869,716
20260126,010000,1.1872,1.1872,1.18518,1.18629,464
20260126,020000,1.18629,1.18926,1.18482,1.18883,15882
20260126,030000,1.18889,1.18976,1.18539,1.18599,61871
20260126,040000,1.18599,1.18631,1.18439,1.1861,91029
20260126,050000,1.1861,1.1869,1.18543,1.18576,93385
20260126,060000,1.18578,1.18765,1.18554,1.18673,78258
20260126,070000,1.18674,1.18677,1.18578,1.18622,51325
20260126,080000,1.18622,1.18692,1.1855,1.18589,51933
20260126,090000,1.18589,1.18698,1.18576,1.18647,44745
20260126,100000,1.18647,1.18656,1.18503,1.18514,62073
20260126,110000,1.18513,1.1863,1.18362,1.18387,85350
20260126,120000,1.18386,1.18597,1.18379,1.18533,110281
20260126,130000,1.18533,1.18676,1.18415,1.18635,96003
20260126,140000,1.18635,1.18654,1.18531,1.18606,70622
20260126,150000,1.18604,1.18608,1.18483,1.18557,67212
20260126,160000,1.18557,1.18573,1.18398,1.1842,62280
20260126,170000,1.1842,1.18568,1.18346,1.18557,81625
20260126,180000,1.18557,1.18796,1.18523,1.1879,105368
20260126,190000,1.18789,1.18969,1.18703,1.18953,114323
20260126,200000,1.18953,1.1907,1.18798,1.18859,112402
20260126,210000,1.18859,1.18915,1.18745,1.18785,83697
20260126,220000,1.18786,1.18903,1.18779,1.18788,74804
20260126,230000,1.18788,1.18816,1.18703,1.1879,80368
20260127,000000,1.1879,1.18837,1.18772,1.18823,61845
20260127,010000,1.18823,1.18862,1.1873,1.18797,25031
20260127,020000,1.18797,1.18797,1.18726,1.18755,5409
20260127,030000,1.18758,1.18819,1.18713,1.18736,19164
20260127,040000,1.18737,1.18828,1.18721,1.18772,46197
20260127,050000,1.1877,1.18814,1.18728,1.18787,51083
20260127,060000,1.18785,1.18994,1.18758,1.18931,48069
20260127,070000,1.18931,1.18935,1.18788,1.18796,41501
20260127,080000,1.18796,1.18823,1.18697,1.18732,34360
20260127,090000,1.18732,1.18787,1.18716,1.18766,35153
20260127,100000,1.18766,1.18813,1.18704,1.18717,42545
20260127,110000,1.18717,1.18756,1.18607,1.18635,68485
20260127,120000,1.18636,1.18672,1.185,1.18605,80971
20260127,130000,1.18605,1.18898,1.18585,1.18888,70714
20260127,140000,1.18888,1.18899,1.18738,1.18886,87908
20260127,150000,1.18886,1.18971,1.18851,1.18953,57437
20260127,160000,1.18953,1.19343,1.18939,1.19281,117292
20260127,170000,1.19279,1.19387,1.19138,1.19231,124318
20260127,180000,1.19231,1.19558,1.1918,1.1943,136583
20260127,190000,1.1943,1.19725,1.1943,1.19506,152310
20260127,200000,1.19506,1.19901,1.19492,1.19789,117854
20260127,210000,1.19789,1.19837,1.19585,1.19797,102561
20260127,220000,1.19797,1.19874,1.19712,1.19777,78007
20260127,230000,1.19776,1.1981,1.1739,1.1977,58915
20260128,000000,1.1977,1.20826,1.19715,1.20293,129133
20260128,010000,1.20293,1.20497,1.20229,1.20385,91776
20260128,020000,1.20371,1.20438,1.20349,1.20399,8374
20260128,030000,1.20399,1.20452,1.20159,1.2023,40157
20260128,040000,1.20225,1.20235,1.20077,1.20149,74860
20260128,050000,1.20149,1.20162,1.19923,1.19927,75874
20260128,060000,1.19927,1.2,1.19868,1.19973,59126
